county_fips,tract_fips,year,measure_id,measure_name,data_value,low_ci,high_ci,unit,total_pop
36087,36087012700,2023,CHD,Coronary heart disease among adults,5.0,4.3,5.9,%,4363
36081,36081145101,2023,CANCER,Cancer (non-skin) or melanoma among adults,7.2,6.4,7.9,%,1501
36091,36091062700,2023,OBESITY,Obesity among adults,35.1,29.9,40.7,%,6170
36081,36081150701,2023,BPHIGH,High blood pressure among adults,32.4,29.7,35.3,%,2919
36085,36085003600,2023,LPA,No leisure-time physical activity among adults,32.0,27.8,36.1,%,2792
36083,36083040400,2023,LPA,No leisure-time physical activity among adults,41.0,35.2,46.8,%,2531
36085,36085000700,2023,DIABETES,Diagnosed diabetes among adults,16.2,14.4,18.2,%,5143
36091,36091060704,2023,CHD,Coronary heart disease among adults,6.0,5.2,6.8,%,4786
36091,36091061202,2023,OBESITY,Obesity among adults,33.9,28.7,39.5,%,3272
36083,36083052305,2023,CSMOKING,Current cigarette smoking among adults,11.3,9.4,13.6,%,2906
36085,36085017015,2023,CHD,Coronary heart disease among adults,5.4,4.7,6.2,%,2713
36087,36087011101,2023,DIABETES,Diagnosed diabetes among adults,11.7,10.1,13.4,%,5857
36087,36087011403,2023,CSMOKING,Current cigarette smoking among adults,8.0,6.4,9.9,%,5548
36081,36081111300,2023,CANCER,Cancer (non-skin) or melanoma among adults,7.2,6.4,8.0,%,2611
36085,36085017600,2023,CANCER,Cancer (non-skin) or melanoma among adults,9.4,8.5,10.3,%,4932
36087,36087011404,2023,BPHIGH,High blood pressure among adults,32.1,28.7,35.7,%,3961
36087,36087010102,2023,CHD,Coronary heart disease among adults,6.0,5.2,6.9,%,4854
36083,36083052203,2023,CANCER,Cancer (non-skin) or melanoma among adults,10.4,9.5,11.4,%,5919
36091,36091060505,2023,BPHIGH,High blood pressure among adults,43.7,39.6,47.7,%,998
36083,36083052004,2023,STROKE,Stroke among adults,2.7,2.3,3.1,%,6507
36081,36081119100,2023,CANCER,Cancer (non-skin) or melanoma among adults,4.2,3.7,4.6,%,3694
36083,36083040900,2023,DIABETES,Diagnosed diabetes among adults,11.6,10.0,13.3,%,2950
36085,36085014700,2023,CANCER,Cancer (non-skin) or melanoma among adults,10.1,9.2,11.1,%,3451
36085,36085013204,2023,OBESITY,Obesity among adults,31.5,27.6,35.6,%,5055
36081,36081129102,2023,BPHIGH,High blood pressure among adults,31.8,29.0,34.6,%,3561
36081,36081161700,2023,CHD,Coronary heart disease among adults,5.2,4.5,5.9,%,4541
36089,36089490400,2023,DIABETES,Diagnosed diabetes among adults,11.6,10.1,13.3,%,3050
36087,36087013102,2023,OBESITY,Obesity among adults,28.8,24.1,34.4,%,3098
36081,36081146300,2023,COPD,Chronic obstructive pulmonary disease among adults,4.7,3.7,5.9,%,2929
36081,36081126500,2023,CHD,Coronary heart disease among adults,5.2,4.5,5.8,%,1595
36091,36091062800,2023,CHD,Coronary heart disease among adults,5.7,5.0,6.6,%,2038
36087,36087011509,2023,DIABETES,Diagnosed diabetes among adults,11.7,10.2,13.2,%,3735
36089,36089492100,2023,CSMOKING,Current cigarette smoking among adults,12.7,10.7,14.8,%,4491
36091,36091061906,2023,CHD,Coronary heart disease among adults,5.2,4.6,5.9,%,3271
36087,36087010804,2023,CANCER,Cancer (non-skin) or melanoma among adults,9.1,8.2,10.2,%,4038
36081,36081148300,2023,LPA,No leisure-time physical activity among adults,20.0,17.1,23.3,%,2968
36085,36085023100,2023,OBESITY,Obesity among adults,33.7,29.9,37.9,%,4959
36083,36083051601,2023,BPHIGH,High blood pressure among adults,33.3,29.6,37.0,%,2992
36087,36087012800,2023,CSMOKING,Current cigarette smoking among adults,8.1,6.4,10.1,%,7238
36087,36087010801,2023,DIABETES,Diagnosed diabetes among adults,8.9,7.6,10.3,%,4824
36091,36091061101,2023,COPD,Chronic obstructive pulmonary disease among adults,6.9,5.4,8.6,%,2002
36085,36085018704,2023,CSMOKING,Current cigarette smoking among adults,9.3,7.3,11.5,%,3780
36087,36087012115,2023,CSMOKING,Current cigarette smoking among adults,17.8,15.6,20.5,%,1721
36087,36087011403,2023,BPHIGH,High blood pressure among adults,31.9,28.4,35.5,%,5548
36081,36081124700,2023,COPD,Chronic obstructive pulmonary disease among adults,4.1,3.5,4.8,%,3734
36087,36087012403,2023,DIABETES,Diagnosed diabetes among adults,18.8,16.6,21.1,%,2498
36085,36085005000,2023,DIABETES,Diagnosed diabetes among adults,11.9,10.4,13.5,%,4357
36081,36081162100,2023,CANCER,Cancer (non-skin) or melanoma among adults,5.3,4.8,5.9,%,6682
36085,36085000600,2023,CHD,Coronary heart disease among adults,8.4,7.3,9.6,%,2859
36085,36085011201,2023,COPD,Chronic obstructive pulmonary disease among adults,5.4,4.6,6.3,%,5768
36085,36085010500,2023,BPHIGH,High blood pressure among adults,34.4,31.6,37.4,%,5597
36085,36085017012,2023,COPD,Chronic obstructive pulmonary disease among adults,5.6,4.5,7.0,%,4473
36089,36089491500,2023,CANCER,Cancer (non-skin) or melanoma among adults,9.8,8.8,10.7,%,3419
36091,36091060800,2023,LPA,No leisure-time physical activity among adults,21.4,17.6,25.3,%,5242
36085,36085027302,2023,CSMOKING,Current cigarette smoking among adults,11.2,8.8,14.0,%,4242
36081,36081117500,2023,STROKE,Stroke among adults,2.9,2.6,3.2,%,5410
36087,36087013300,2023,LPA,No leisure-time physical activity among adults,17.9,14.6,21.7,%,2517
36089,36089492700,2023,CSMOKING,Current cigarette smoking among adults,19.4,16.4,22.5,%,6551
36081,36081138502,2023,COPD,Chronic obstructive pulmonary disease among adults,9.4,6.8,12.4,%,85
36091,36091060504,2023,CHD,Coronary heart disease among adults,9.9,8.7,11.3,%,1154
36081,36081115900,2023,CSMOKING,Current cigarette smoking among adults,9.5,7.6,11.7,%,3922
36091,36091061401,2023,CANCER,Cancer (non-skin) or melanoma among adults,8.5,7.7,9.4,%,4920
36091,36091062410,2023,CANCER,Cancer (non-skin) or melanoma among adults,5.9,5.3,6.4,%,3978
36085,36085003900,2023,STROKE,Stroke among adults,3.3,3.0,3.7,%,2179
36085,36085032300,2023,BPHIGH,High blood pressure among adults,34.3,31.4,37.1,%,1233
36089,36089492401,2023,BPHIGH,High blood pressure among adults,37.0,33.6,40.4,%,2167
36087,36087012108,2023,OBESITY,Obesity among adults,37.5,31.8,43.6,%,5669
36081,36081137700,2023,LPA,No leisure-time physical activity among adults,28.1,24.3,32.0,%,7309
36085,36085022801,2023,DIABETES,Diagnosed diabetes among adults,8.2,6.9,9.5,%,95
36087,36087010803,2023,OBESITY,Obesity among adults,25.4,21.0,30.4,%,5609
36081,36081143500,2023,OBESITY,Obesity among adults,16.3,14.0,18.5,%,2364
36083,36083040701,2023,BPHIGH,High blood pressure among adults,28.4,25.1,31.5,%,3786
36081,36081115700,2023,DIABETES,Diagnosed diabetes among adults,16.3,14.3,18.3,%,3529
36083,36083051601,2023,DIABETES,Diagnosed diabetes among adults,11.9,10.2,13.6,%,2992
36085,36085012200,2023,CANCER,Cancer (non-skin) or melanoma among adults,8.9,8.1,9.8,%,3938
36085,36085017701,2023,CHD,Coronary heart disease among adults,5.7,5.0,6.4,%,4724
36085,36085020804,2023,BPHIGH,High blood pressure among adults,33.5,30.6,36.6,%,5364
36087,36087011404,2023,DIABETES,Diagnosed diabetes among adults,10.2,8.9,11.7,%,3961
36085,36085017005,2023,COPD,Chronic obstructive pulmonary disease among adults,5.3,4.2,6.5,%,4845
36087,36087010601,2023,STROKE,Stroke among adults,3.3,2.9,3.8,%,4058
36085,36085004002,2023,DIABETES,Diagnosed diabetes among adults,13.4,11.8,15.1,%,3409
36085,36085018901,2023,OBESITY,Obesity among adults,28.0,24.4,31.9,%,5725
36085,36085000900,2023,DIABETES,Diagnosed diabetes among adults,12.9,11.5,14.5,%,2240
36081,36081152902,2023,STROKE,Stroke among adults,2.8,2.5,3.2,%,5665
36091,36091061305,2023,CSMOKING,Current cigarette smoking among adults,10.7,8.1,13.3,%,4153
36089,36089491900,2023,COPD,Chronic obstructive pulmonary disease among adults,1.4,0.8,2.2,%,1529
36081,36081119500,2023,DIABETES,Diagnosed diabetes among adults,15.8,14.0,17.9,%,1445
36081,36081133300,2023,OBESITY,Obesity among adults,18.8,16.3,21.7,%,3915
36083,36083052203,2023,DIABETES,Diagnosed diabetes among adults,9.3,8.0,10.7,%,5919
36085,36085014604,2023,BPHIGH,High blood pressure among adults,33.0,30.0,35.9,%,6651
36081,36081147100,2023,CSMOKING,Current cigarette smoking among adults,7.6,6.1,9.4,%,3239
36103,36103159300,2023,BPHIGH,High blood pressure among adults,34.2,31.2,37.2,%,2203
36103,36103111703,2023,CANCER,Cancer (non-skin) or melanoma among adults,9.5,8.6,10.4,%,3182
36103,36103158513,2023,STROKE,Stroke among adults,2.6,2.4,3.0,%,3065
36103,36103158016,2023,LPA,No leisure-time physical activity among adults,17.8,14.9,21.3,%,2137
36103,36103158510,2023,OBESITY,Obesity among adults,30.4,26.8,34.2,%,6907
36103,36103158103,2023,OBESITY,Obesity among adults,29.5,26.0,33.3,%,4343
36101,36101962600,2023,CSMOKING,Current cigarette smoking among adults,10.4,7.9,13.3,%,2262
36093,36093033004,2023,CANCER,Cancer (non-skin) or melanoma among adults,9.1,8.2,10.1,%,2987
36093,36093031901,2023,LPA,No leisure-time physical activity among adults,17.0,13.8,20.6,%,4646
36103,36103158711,2023,CHD,Coronary heart disease among adults,6.6,5.8,7.4,%,5736
36103,36103146705,2023,COPD,Chronic obstructive pulmonary disease among adults,4.4,3.4,5.4,%,3252
36103,36103122707,2023,DIABETES,Diagnosed diabetes among adults,8.4,7.3,9.6,%,3113
36103,36103135306,2023,LPA,No leisure-time physical activity among adults,20.6,17.7,23.7,%,4896
36103,36103123403,2023,CHD,Coronary heart disease among adults,4.9,4.3,5.6,%,1956
36103,36103122407,2023,CHD,Coronary heart disease among adults,4.8,4.2,5.4,%,1633
36103,36103111504,2023,DIABETES,Diagnosed diabetes among adults,9.4,8.2,10.8,%,2025
36103,36103159109,2023,STROKE,Stroke among adults,2.7,2.4,3.1,%,2902
36103,36103158402,2023,BPHIGH,High blood pressure among adults,31.6,28.8,34.4,%,4330
36093,36093032300,2023,BPHIGH,High blood pressure among adults,28.9,25.4,32.6,%,2615
36103,36103123204,2023,COPD,Chronic obstructive pulmonary disease among adults,6.1,5.1,7.2,%,5845
36103,36103111503,2023,LPA,No leisure-time physical activity among adults,26.7,22.8,30.8,%,4002
36103,36103135402,2023,CSMOKING,Current cigarette smoking among adults,8.5,6.3,10.9,%,6785
36093,36093032602,2023,LPA,No leisure-time physical activity among adults,20.1,16.7,23.9,%,4328
36103,36103147402,2023,STROKE,Stroke among adults,2.6,2.2,3.1,%,3663
36097,36097950400,2023,CANCER,Cancer (non-skin) or melanoma among adults,10.3,9.3,11.2,%,3752
36103,36103159512,2023,LPA,No leisure-time physical activity among adults,29.3,25.5,33.2,%,2312
36101,36101961400,2023,CANCER,Cancer (non-skin) or melanoma among adults,12.8,11.6,14.0,%,2122
36103,36103112104,2023,STROKE,Stroke among adults,2.4,2.2,2.7,%,2251
36103,36103146402,2023,CANCER,Cancer (non-skin) or melanoma among adults,9.5,8.5,10.5,%,4392
36101,36101960500,2023,LPA,No leisure-time physical activity among adults,25.3,21.4,29.9,%,2729
36103,36103111804,2023,CSMOKING,Current cigarette smoking among adults,6.7,5.0,8.7,%,2328
36103,36103159516,2023,COPD,Chronic obstructive pulmonary disease among adults,6.7,5.5,7.9,%,5173
36103,36103145905,2023,STROKE,Stroke among adults,2.8,2.6,3.1,%,4543
36093,36093033101,2023,COPD,Chronic obstructive pulmonary disease among adults,6.6,5.7,7.6,%,2024
36103,36103124602,2023,LPA,No leisure-time physical activity among adults,20.4,17.0,24.1,%,4429
36103,36103146616,2023,COPD,Chronic obstructive pulmonary disease among adults,5.5,4.5,6.5,%,3870
36103,36103159414,2023,DIABETES,Diagnosed diabetes among adults,9.5,8.2,10.9,%,3175
36103,36103146620,2023,OBESITY,Obesity among adults,28.2,24.6,31.9,%,1888
36103,36103135003,2023,BPHIGH,High blood pressure among adults,29.3,26.7,32.2,%,4734
36103,36103124302,2023,STROKE,Stroke among adults,3.4,2.9,3.9,%,4422
36103,36103145702,2023,LPA,No leisure-time physical activity among adults,32.5,28.0,37.4,%,6640
36103,36103146105,2023,OBESITY,Obesity among adults,33.6,29.8,37.5,%,7294
36103,36103147503,2023,DIABETES,Diagnosed diabetes among adults,8.6,7.4,9.9,%,1977
