county_fips,tract_fips,year,measure_id,measure_name,data_value,low_ci,high_ci,unit,total_pop
36119,36119014805,2023,OBESITY,Obesity among adults,22.6,19.7,25.4,%,4449
36005,36005038900,2023,STROKE,Stroke among adults,3.1,2.8,3.4,%,4819
36009,36009940302,2023,STROKE,Stroke among adults,4.4,3.9,4.8,%,3528
36047,36047116800,2023,STROKE,Stroke among adults,3.0,2.8,3.4,%,2273
36051,36051030900,2023,OBESITY,Obesity among adults,34.6,27.5,42.5,%,2898
36005,36005033201,2023,OBESITY,Obesity among adults,31.5,28.0,35.0,%,4103
36005,36005030900,2023,BPHIGH,High blood pressure among adults,35.7,33.0,38.5,%,3947
36001,36001014100,2023,CANCER,Cancer (non-skin) or melanoma among adults,11.0,10.0,12.1,%,5628
36005,36005030201,2023,DIABETES,Diagnosed diabetes among adults,14.7,13.0,16.6,%,4048
36001,36001014201,2023,STROKE,Stroke among adults,2.4,2.2,2.7,%,5959
36005,36005001902,2023,OBESITY,Obesity among adults,36.2,32.4,39.9,%,1613
36005,36005034300,2023,BPHIGH,High blood pressure among adults,30.9,28.4,33.3,%,1706
36005,36005012701,2023,DIABETES,Diagnosed diabetes among adults,19.5,17.3,21.5,%,2184
36001,36001014612,2023,CSMOKING,Current cigarette smoking among adults,8.9,6.7,11.3,%,1675
36005,36005029700,2023,COPD,Chronic obstructive pulmonary disease among adults,4.8,3.7,6.1,%,4005
36005,36005008900,2023,CSMOKING,Current cigarette smoking among adults,12.6,10.7,14.7,%,3118
36005,36005024400,2023,CHD,Coronary heart disease among adults,5.2,4.6,5.8,%,2407
36001,36001014100,2023,STROKE,Stroke among adults,2.9,2.6,3.3,%,5628
36005,36005008300,2023,DIABETES,Diagnosed diabetes among adults,14.6,13.0,16.4,%,6122
36001,36001001901,2023,OBESITY,Obesity among adults,27.7,23.7,32.2,%,2514
36005,36005015200,2023,DIABETES,Diagnosed diabetes among adults,12.0,10.6,13.4,%,2593
36005,36005029600,2023,STROKE,Stroke among adults,1.7,1.6,1.9,%,2878
36001,36001014001,2023,CSMOKING,Current cigarette smoking among adults,11.1,9.0,13.5,%,4200
36001,36001014802,2023,CSMOKING,Current cigarette smoking among adults,9.9,8.4,11.6,%,1826
36005,36005033700,2023,CHD,Coronary heart disease among adults,4.2,3.7,4.7,%,3838
36005,36005025100,2023,OBESITY,Obesity among adults,32.0,28.5,35.6,%,6924
36005,36005035600,2023,COPD,Chronic obstructive pulmonary disease among adults,5.6,4.7,6.5,%,2261
36001,36001013708,2023,DIABETES,Diagnosed diabetes among adults,9.8,8.5,11.3,%,3494
36001,36001013602,2023,BPHIGH,High blood pressure among adults,31.4,28.3,34.5,%,4554
36003,36003950500,2023,STROKE,Stroke among adults,4.2,3.7,4.6,%,3671
36005,36005021601,2023,DIABETES,Diagnosed diabetes among adults,14.7,13.2,16.2,%,4701
36001,36001014801,2023,BPHIGH,High blood pressure among adults,36.9,33.6,40.2,%,2689
36005,36005023800,2023,LPA,No leisure-time physical activity among adults,31.1,27.9,34.6,%,2750
36005,36005013500,2023,LPA,No leisure-time physical activity among adults,44.9,41.0,48.7,%,4001
36005,36005028500,2023,CHD,Coronary heart disease among adults,4.4,3.9,4.9,%,3440
36005,36005025200,2023,DIABETES,Diagnosed diabetes among adults,10.7,9.5,11.9,%,2682
36001,36001002000,2023,CSMOKING,Current cigarette smoking among adults,12.3,10.1,14.7,%,5960
36001,36001013200,2023,OBESITY,Obesity among adults,38.2,33.5,43.3,%,3380
36005,36005029500,2023,CSMOKING,Current cigarette smoking among adults,9.5,7.6,11.7,%,4615
36005,36005015200,2023,CHD,Coronary heart disease among adults,5.7,5.0,6.4,%,2593
36005,36005007700,2023,CANCER,Cancer (non-skin) or melanoma among adults,4.0,3.6,4.4,%,1974
36001,36001013512,2023,OBESITY,Obesity among adults,28.4,24.2,32.6,%,3858
36005,36005021502,2023,CSMOKING,Current cigarette smoking among adults,15.2,13.0,17.5,%,6360
36001,36001013603,2023,STROKE,Stroke among adults,2.6,2.4,2.9,%,3151
36005,36005005300,2023,DIABETES,Diagnosed diabetes among adults,21.9,19.9,24.1,%,4371
36005,36005033802,2023,CANCER,Cancer (non-skin) or melanoma among adults,3.9,3.5,4.3,%,1737
36001,36001013804,2023,LPA,No leisure-time physical activity among adults,21.3,18.0,24.9,%,3897
36005,36005002500,2023,CSMOKING,Current cigarette smoking among adults,15.2,12.8,17.9,%,5442
36001,36001000501,2023,CHD,Coronary heart disease among adults,7.3,6.4,8.1,%,3440
36003,36003950300,2023,OBESITY,Obesity among adults,32.4,25.7,40.1,%,4755
36005,36005020501,2023,CANCER,Cancer (non-skin) or melanoma among adults,4.3,3.9,4.7,%,7859
36005,36005032600,2023,COPD,Chronic obstructive pulmonary disease among adults,5.6,4.8,6.6,%,3494
36005,36005029600,2023,CANCER,Cancer (non-skin) or melanoma among adults,3.3,2.9,3.6,%,2878
36005,36005023502,2023,COPD,Chronic obstructive pulmonary disease among adults,6.0,5.1,7.1,%,4417
36005,36005007900,2023,LPA,No leisure-time physical activity among adults,44.0,39.5,48.7,%,6826
36005,36005033400,2023,CSMOKING,Current cigarette smoking among adults,9.4,8.0,10.9,%,69
36005,36005028500,2023,OBESITY,Obesity among adults,24.2,21.3,27.1,%,3440
36005,36005033700,2023,CSMOKING,Current cigarette smoking among adults,6.5,5.1,8.1,%,3838
36005,36005025300,2023,CSMOKING,Current cigarette smoking among adults,13.3,11.4,15.5,%,6234
36001,36001000202,2023,CSMOKING,Current cigarette smoking among adults,18.5,16.0,21.3,%,2598
36005,36005023703,2023,OBESITY,Obesity among adults,39.3,35.4,43.2,%,5086
36005,36005011800,2023,BPHIGH,High blood pressure among adults,25.9,23.7,28.1,%,5324
36005,36005029500,2023,CHD,Coronary heart disease among adults,5.2,4.5,6.0,%,4615
36005,36005025400,2023,OBESITY,Obesity among adults,28.0,24.8,31.2,%,2163
36005,36005009200,2023,CSMOKING,Current cigarette smoking among adults,14.1,12.1,16.1,%,6271
36001,36001000600,2023,CANCER,Cancer (non-skin) or melanoma among adults,3.4,3.1,3.7,%,3500
36005,36005015500,2023,OBESITY,Obesity among adults,35.0,31.3,38.9,%,2891
36005,36005016900,2023,CSMOKING,Current cigarette smoking among adults,18.2,15.7,21.0,%,1586
36005,36005003300,2023,LPA,No leisure-time physical activity among adults,46.1,41.1,51.2,%,3689
36005,36005000100,2023,LPA,No leisure-time physical activity among adults,42.6,37.7,47.2,%,3772
36001,36001014617,2023,CSMOKING,Current cigarette smoking among adults,9.1,7.4,11.2,%,2373
36001,36001000501,2023,CANCER,Cancer (non-skin) or melanoma among adults,5.7,5.2,6.3,%,3440
36005,36005033400,2023,LPA,No leisure-time physical activity among adults,28.1,24.8,31.6,%,69
36005,36005006900,2023,OBESITY,Obesity among adults,37.8,34.0,41.6,%,6964
36001,36001014700,2023,CANCER,Cancer (non-skin) or melanoma among adults,9.9,9.0,10.9,%,2635
36005,36005024502,2023,LPA,No leisure-time physical activity among adults,42.4,37.8,47.0,%,3797
36005,36005020501,2023,STROKE,Stroke among adults,5.8,5.2,6.3,%,7859
36001,36001013803,2023,CSMOKING,Current cigarette smoking among adults,12.8,10.3,15.4,%,3347
36001,36001014803,2023,DIABETES,Diagnosed diabetes among adults,11.1,9.6,12.8,%,3194
36001,36001014609,2023,CHD,Coronary heart disease among adults,4.7,4.1,5.3,%,4829
36005,36005021100,2023,OBESITY,Obesity among adults,36.9,33.0,40.7,%,5822
36005,36005020100,2023,CHD,Coronary heart disease among adults,7.7,6.8,8.5,%,4345
36005,36005030701,2023,CSMOKING,Current cigarette smoking among adults,4.5,3.7,5.5,%,5799
36003,36003950401,2023,BPHIGH,High blood pressure among adults,39.9,35.6,44.3,%,1647
36005,36005011502,2023,CANCER,Cancer (non-skin) or melanoma among adults,3.7,3.3,4.1,%,4396
36003,36003951000,2023,CSMOKING,Current cigarette smoking among adults,16.0,13.6,18.6,%,3116
36005,36005014300,2023,COPD,Chronic obstructive pulmonary disease among adults,8.0,7.0,9.2,%,1898
36005,36005031800,2023,OBESITY,Obesity among adults,25.2,22.3,28.3,%,1961
36005,36005031900,2023,CSMOKING,Current cigarette smoking among adults,12.8,10.2,15.7,%,454
36005,36005019300,2023,COPD,Chronic obstructive pulmonary disease among adults,6.0,5.1,6.9,%,6020
36005,36005017702,2023,CHD,Coronary heart disease among adults,6.9,6.1,7.7,%,4979
36005,36005006500,2023,CHD,Coronary heart disease among adults,8.1,7.3,9.0,%,6251
36005,36005030701,2023,CHD,Coronary heart disease among adults,5.2,4.6,5.9,%,5799
36005,36005006100,2023,BPHIGH,High blood pressure among adults,42.0,39.1,44.7,%,3444
36005,36005025200,2023,CHD,Coronary heart disease among adults,5.4,4.8,6.0,%,2682
36005,36005017902,2023,BPHIGH,High blood pressure among adults,35.3,32.6,38.0,%,3447
36001,36001013510,2023,DIABETES,Diagnosed diabetes among adults,9.7,8.3,11.3,%,3497
36005,36005021301,2023,STROKE,Stroke among adults,5.4,4.7,6.0,%,1264
36005,36005001902,2023,CSMOKING,Current cigarette smoking among adults,16.2,13.9,18.7,%,1613
36001,36001013603,2023,CANCER,Cancer (non-skin) or melanoma among adults,9.0,8.2,9.8,%,3151
36005,36005006900,2023,BPHIGH,High blood pressure among adults,37.1,34.4,39.7,%,6964
36005,36005018301,2023,DIABETES,Diagnosed diabetes among adults,15.0,13.3,16.7,%,4423
36005,36005021700,2023,LPA,No leisure-time physical activity among adults,41.7,37.6,46.0,%,5006
36005,36005034400,2023,CANCER,Cancer (non-skin) or melanoma among adults,5.0,4.5,5.4,%,1930
36005,36005004800,2023,CANCER,Cancer (non-skin) or melanoma among adults,3.8,3.4,4.2,%,4184
36005,36005026400,2023,CSMOKING,Current cigarette smoking among adults,10.3,8.7,12.3,%,5693
36005,36005018501,2023,LPA,No leisure-time physical activity among adults,38.0,33.4,42.8,%,3076
36005,36005002702,2023,STROKE,Stroke among adults,5.0,4.5,5.6,%,4995
36001,36001013603,2023,OBESITY,Obesity among adults,28.4,24.3,32.8,%,3151
36005,36005009000,2023,CANCER,Cancer (non-skin) or melanoma among adults,4.4,3.9,4.9,%,3911
36005,36005025300,2023,LPA,No leisure-time physical activity among adults,39.7,35.5,44.1,%,6234
36003,36003950900,2023,DIABETES,Diagnosed diabetes among adults,12.4,10.7,14.2,%,3649
36005,36005015900,2023,CSMOKING,Current cigarette smoking among adults,14.2,11.8,17.0,%,2481
36001,36001014100,2023,COPD,Chronic obstructive pulmonary disease among adults,5.2,4.4,6.3,%,5628
36005,36005027401,2023,LPA,No leisure-time physical activity among adults,23.2,19.8,26.6,%,5136
36005,36005004400,2023,CSMOKING,Current cigarette smoking among adults,17.6,15.3,20.4,%,4642
36005,36005017701,2023,STROKE,Stroke among adults,4.9,4.4,5.4,%,4754
36005,36005021602,2023,BPHIGH,High blood pressure among adults,33.6,31.1,36.2,%,6237
36005,36005007500,2023,LPA,No leisure-time physical activity among adults,42.0,38.2,46.0,%,6749
36005,36005004100,2023,DIABETES,Diagnosed diabetes among adults,17.5,15.6,19.5,%,6146
36005,36005021700,2023,BPHIGH,High blood pressure among adults,38.5,35.8,41.2,%,5006
36001,36001002100,2023,CANCER,Cancer (non-skin) or melanoma among adults,2.8,2.6,3.1,%,3937
36005,36005002701,2023,CANCER,Cancer (non-skin) or melanoma among adults,4.2,3.8,4.6,%,3080
36005,36005013800,2023,LPA,No leisure-time physical activity among adults,25.4,22.0,28.8,%,3060
36005,36005030701,2023,LPA,No leisure-time physical activity among adults,15.7,13.6,18.0,%,5799
36005,36005023800,2023,BPHIGH,High blood pressure among adults,27.1,24.8,29.3,%,2750
36005,36005022703,2023,CSMOKING,Current cigarette smoking among adults,13.3,10.9,15.8,%,1699
36005,36005004200,2023,LPA,No leisure-time physical activity among adults,38.0,33.9,42.1,%,7201
36005,36005033802,2023,STROKE,Stroke among adults,3.9,3.4,4.3,%,1737
36005,36005013300,2023,CHD,Coronary heart disease among adults,7.6,6.8,8.5,%,6064
36003,36003951201,2023,OBESITY,Obesity among adults,38.6,31.1,46.8,%,2301
36001,36001000403,2023,BPHIGH,High blood pressure among adults,31.1,28.3,34.2,%,4418
36005,36005025400,2023,STROKE,Stroke among adults,3.7,3.3,4.1,%,2163
36005,36005004600,2023,COPD,Chronic obstructive pulmonary disease among adults,9.7,8.4,11.1,%,1976
36001,36001013802,2023,DIABETES,Diagnosed diabetes among adults,8.8,7.7,10.1,%,4487
36005,36005002702,2023,CANCER,Cancer (non-skin) or melanoma among adults,3.6,3.2,4.0,%,4995
36001,36001013300,2023,LPA,No leisure-time physical activity among adults,26.6,22.7,30.5,%,4397
36005,36005000400,2023,COPD,Chronic obstructive pulmonary disease among adults,3.4,2.9,4.1,%,6272
36005,36005013500,2023,BPHIGH,High blood pressure among adults,37.9,35.3,40.5,%,4001
36001,36001014501,2023,LPA,No leisure-time physical activity among adults,16.8,13.9,20.1,%,2703
36005,36005022401,2023,DIABETES,Diagnosed diabetes among adults,12.4,10.9,14.0,%,2787
36001,36001002200,2023,BPHIGH,High blood pressure among adults,28.7,25.9,31.5,%,2299
36005,36005032400,2023,STROKE,Stroke among adults,4.3,3.8,4.7,%,3113
36005,36005016500,2023,COPD,Chronic obstructive pulmonary disease among adults,6.2,5.3,7.2,%,1097
36005,36005026500,2023,STROKE,Stroke among adults,3.3,2.9,3.7,%,7166
36005,36005033400,2023,BPHIGH,High blood pressure among adults,34.6,31.8,37.1,%,69
36003,36003951301,2023,DIABETES,Diagnosed diabetes among adults,12.5,10.8,14.4,%,1350
36005,36005027401,2023,CANCER,Cancer (non-skin) or melanoma among adults,8.5,7.7,9.4,%,5136
36005,36005012300,2023,CSMOKING,Current cigarette smoking among adults,16.2,14.0,18.5,%,4766
36005,36005007000,2023,CANCER,Cancer (non-skin) or melanoma among adults,3.9,3.6,4.3,%,5021
36005,36005016100,2023,DIABETES,Diagnosed diabetes among adults,21.0,19.0,23.1,%,5243
36001,36001013400,2023,BPHIGH,High blood pressure among adults,32.2,29.2,35.4,%,2598
36005,36005022703,2023,BPHIGH,High blood pressure among adults,33.4,30.8,35.9,%,1699
36005,36005036100,2023,BPHIGH,High blood pressure among adults,40.8,38.0,43.5,%,5569
36003,36003950700,2023,OBESITY,Obesity among adults,36.5,29.4,44.5,%,3575
36005,36005018400,2023,COPD,Chronic obstructive pulmonary disease among adults,5.6,4.7,6.6,%,4329
36001,36001013707,2023,STROKE,Stroke among adults,3.1,2.7,3.5,%,6066
36001,36001014303,2023,COPD,Chronic obstructive pulmonary disease among adults,4.4,3.6,5.2,%,4874
36005,36005020400,2023,CSMOKING,Current cigarette smoking among adults,14.6,12.7,16.6,%,3129
36005,36005009600,2023,CSMOKING,Current cigarette smoking among adults,12.2,10.6,13.9,%,2946
36005,36005033700,2023,LPA,No leisure-time physical activity among adults,18.1,15.5,20.9,%,3838
36001,36001000700,2023,STROKE,Stroke among adults,5.0,4.5,5.6,%,4196
36005,36005028600,2023,BPHIGH,High blood pressure among adults,28.8,26.4,31.3,%,1395
36005,36005006700,2023,STROKE,Stroke among adults,5.9,5.4,6.4,%,6893
36005,36005021001,2023,LPA,No leisure-time physical activity among adults,35.9,32.2,40.0,%,8946
36005,36005014701,2023,CHD,Coronary heart disease among adults,8.0,7.2,8.8,%,6361
36001,36001000600,2023,STROKE,Stroke among adults,3.7,3.3,4.0,%,3500
36005,36005032800,2023,STROKE,Stroke among adults,4.4,4.0,4.8,%,4133
36005,36005027900,2023,OBESITY,Obesity among adults,29.4,26.1,32.8,%,8145
36005,36005014900,2023,DIABETES,Diagnosed diabetes among adults,19.5,17.4,21.4,%,4723
36001,36001014615,2023,CHD,Coronary heart disease among adults,5.2,4.5,5.9,%,2759
36005,36005008600,2023,COPD,Chronic obstructive pulmonary disease among adults,10.9,9.5,12.3,%,4145
36005,36005007600,2023,CSMOKING,Current cigarette smoking among adults,12.4,10.5,14.5,%,5682
36005,36005035900,2023,OBESITY,Obesity among adults,39.8,36.1,43.7,%,3731
36001,36001000502,2023,LPA,No leisure-time physical activity among adults,23.3,19.2,27.9,%,2841
36003,36003951100,2023,LPA,No leisure-time physical activity among adults,25.6,21.4,30.1,%,3772
36001,36001001902,2023,CHD,Coronary heart disease among adults,4.8,4.2,5.5,%,2566
36005,36005021501,2023,LPA,No leisure-time physical activity among adults,41.9,37.6,46.1,%,4078
36005,36005032300,2023,CANCER,Cancer (non-skin) or melanoma among adults,10.4,9.4,11.4,%,5001
36005,36005023301,2023,STROKE,Stroke among adults,4.5,4.0,5.0,%,4577
36005,36005030000,2023,OBESITY,Obesity among adults,26.7,23.5,29.9,%,6591
36005,36005012300,2023,CHD,Coronary heart disease among adults,7.6,6.8,8.4,%,4766
36005,36005012701,2023,CHD,Coronary heart disease among adults,8.1,7.1,9.1,%,2184
36005,36005005400,2023,BPHIGH,High blood pressure among adults,31.9,29.4,34.4,%,6804
36005,36005022800,2023,COPD,Chronic obstructive pulmonary disease among adults,3.7,3.2,4.3,%,6336
36005,36005002002,2023,DIABETES,Diagnosed diabetes among adults,20.0,18.0,22.0,%,4584
36005,36005013500,2023,CSMOKING,Current cigarette smoking among adults,17.7,15.4,20.0,%,4001
36005,36005014100,2023,BPHIGH,High blood pressure among adults,34.1,31.5,36.7,%,7344
36005,36005009000,2023,STROKE,Stroke among adults,5.2,4.7,5.7,%,3911
36001,36001013803,2023,OBESITY,Obesity among adults,31.6,27.1,36.2,%,3347
36001,36001014303,2023,STROKE,Stroke among adults,2.4,2.2,2.7,%,4874
36005,36005023704,2023,CANCER,Cancer (non-skin) or melanoma among adults,3.7,3.3,4.1,%,3970
36001,36001014002,2023,CSMOKING,Current cigarette smoking among adults,12.6,10.4,14.9,%,4376
36005,36005018302,2023,CANCER,Cancer (non-skin) or melanoma among adults,4.0,3.6,4.4,%,3686
36005,36005016000,2023,CANCER,Cancer (non-skin) or melanoma among adults,7.7,7.0,8.5,%,4003
36005,36005024000,2023,CHD,Coronary heart disease among adults,4.3,3.8,4.8,%,4583
36001,36001013804,2023,CANCER,Cancer (non-skin) or melanoma among adults,9.4,8.5,10.3,%,3897
36005,36005007300,2023,DIABETES,Diagnosed diabetes among adults,19.6,17.6,21.6,%,4205
36001,36001013100,2023,DIABETES,Diagnosed diabetes among adults,10.8,9.4,12.4,%,2934
36005,36005004600,2023,CSMOKING,Current cigarette smoking among adults,17.2,14.5,20.0,%,1976
36005,36005018900,2023,CSMOKING,Current cigarette smoking among adults,15.1,12.6,17.6,%,8360
36005,36005001600,2023,DIABETES,Diagnosed diabetes among adults,16.3,14.5,18.2,%,5795
36005,36005014500,2023,OBESITY,Obesity among adults,42.5,38.6,46.4,%,7055
36005,36005025100,2023,CSMOKING,Current cigarette smoking among adults,12.2,10.2,14.5,%,6924
36005,36005024501,2023,CHD,Coronary heart disease among adults,6.2,5.5,7.0,%,5059
36005,36005008700,2023,COPD,Chronic obstructive pulmonary disease among adults,6.1,5.3,7.0,%,5976
36005,36005029500,2023,LPA,No leisure-time physical activity among adults,24.4,20.8,28.1,%,4615
36005,36005023600,2023,DIABETES,Diagnosed diabetes among adults,11.9,10.6,13.1,%,2204
36001,36001000404,2023,LPA,No leisure-time physical activity among adults,14.7,11.6,17.9,%,5194
36001,36001013300,2023,CHD,Coronary heart disease among adults,5.9,5.2,6.6,%,4397
36005,36005024600,2023,CANCER,Cancer (non-skin) or melanoma among adults,6.5,5.8,7.1,%,2297
36001,36001001803,2023,DIABETES,Diagnosed diabetes among adults,9.1,7.9,10.5,%,3232
36005,36005012500,2023,CANCER,Cancer (non-skin) or melanoma among adults,3.9,3.5,4.3,%,4139
36005,36005032400,2023,CANCER,Cancer (non-skin) or melanoma among adults,5.2,4.7,5.8,%,3113
36005,36005007900,2023,OBESITY,Obesity among adults,37.1,33.4,40.9,%,6826
36001,36001013707,2023,CANCER,Cancer (non-skin) or melanoma among adults,11.4,10.4,12.5,%,6066
36005,36005009800,2023,CSMOKING,Current cigarette smoking among adults,10.2,8.5,12.2,%,5903
36005,36005018101,2023,STROKE,Stroke among adults,3.3,3.0,3.7,%,3299
36001,36001000502,2023,CHD,Coronary heart disease among adults,3.2,2.8,3.6,%,2841
36005,36005014701,2023,CSMOKING,Current cigarette smoking among adults,21.1,18.4,23.8,%,6361
36003,36003950800,2023,COPD,Chronic obstructive pulmonary disease among adults,4.1,3.6,4.8,%,6136
36005,36005006900,2023,CSMOKING,Current cigarette smoking among adults,15.5,13.3,17.8,%,6964
36005,36005022200,2023,LPA,No leisure-time physical activity among adults,37.3,33.0,41.5,%,3968
36001,36001000501,2023,STROKE,Stroke among adults,4.7,4.2,5.2,%,3440
36005,36005009000,2023,LPA,No leisure-time physical activity among adults,46.9,42.7,51.3,%,3911
36005,36005022101,2023,DIABETES,Diagnosed diabetes among adults,12.4,10.9,13.9,%,4001
36001,36001014203,2023,CSMOKING,Current cigarette smoking among adults,5.8,4.3,7.6,%,6270
36005,36005020900,2023,CSMOKING,Current cigarette smoking among adults,13.8,11.6,16.0,%,4823
36005,36005036000,2023,CSMOKING,Current cigarette smoking among adults,9.4,7.8,11.1,%,3024
36005,36005022702,2023,LPA,No leisure-time physical activity among adults,44.8,39.7,50.2,%,1634
36001,36001014203,2023,STROKE,Stroke among adults,2.4,2.1,2.7,%,6270
36005,36005006500,2023,BPHIGH,High blood pressure among adults,38.8,36.3,41.4,%,6251
36005,36005021200,2023,COPD,Chronic obstructive pulmonary disease among adults,5.8,5.0,6.7,%,6596
36005,36005023501,2023,OBESITY,Obesity among adults,35.9,32.1,39.7,%,3570
36005,36005013000,2023,OBESITY,Obesity among adults,29.0,25.7,32.4,%,1198
36005,36005021800,2023,BPHIGH,High blood pressure among adults,33.1,30.5,35.6,%,6610
36005,36005024502,2023,CSMOKING,Current cigarette smoking among adults,14.7,12.4,17.2,%,3797
36005,36005002300,2023,CSMOKING,Current cigarette smoking among adults,19.5,17.0,22.2,%,4742
36001,36001013602,2023,CHD,Coronary heart disease among adults,5.1,4.4,5.9,%,4554
36003,36003950600,2023,BPHIGH,High blood pressure among adults,39.0,34.8,43.2,%,3653
36001,36001000404,2023,CSMOKING,Current cigarette smoking among adults,4.5,3.4,5.5,%,5194
36001,36001014402,2023,BPHIGH,High blood pressure among adults,32.0,28.9,35.2,%,3271
36001,36001001400,2023,DIABETES,Diagnosed diabetes among adults,5.9,5.1,6.7,%,3818
36005,36005006301,2023,DIABETES,Diagnosed diabetes among adults,15.5,13.7,17.3,%,6567
36005,36005028400,2023,OBESITY,Obesity among adults,45.9,42.0,49.9,%,297
36005,36005017701,2023,OBESITY,Obesity among adults,34.7,31.0,38.4,%,4754
36001,36001013603,2023,COPD,Chronic obstructive pulmonary disease among adults,4.8,4.1,5.5,%,3151
36005,36005028100,2023,CHD,Coronary heart disease among adults,7.0,6.3,7.9,%,3720
36001,36001014801,2023,CHD,Coronary heart disease among adults,7.1,6.4,7.9,%,2689
36005,36005014300,2023,CHD,Coronary heart disease among adults,7.8,6.9,8.7,%,1898
36005,36005023501,2023,CANCER,Cancer (non-skin) or melanoma among adults,3.7,3.3,4.1,%,3570
36001,36001013901,2023,DIABETES,Diagnosed diabetes among adults,9.8,8.3,11.4,%,2396
36005,36005002702,2023,COPD,Chronic obstructive pulmonary disease among adults,9.5,8.2,10.8,%,4995
36005,36005003900,2023,OBESITY,Obesity among adults,35.8,32.0,39.5,%,6345
36005,36005007300,2023,BPHIGH,High blood pressure among adults,38.8,36.2,41.5,%,4205
36005,36005000200,2023,BPHIGH,High blood pressure among adults,29.6,27.1,32.2,%,4779
36005,36005007200,2023,CHD,Coronary heart disease among adults,5.4,4.8,6.0,%,6291
36005,36005022800,2023,CANCER,Cancer (non-skin) or melanoma among adults,4.9,4.4,5.4,%,6336
36001,36001002600,2023,LPA,No leisure-time physical activity among adults,30.2,26.3,34.3,%,5179
36001,36001013400,2023,DIABETES,Diagnosed diabetes among adults,9.6,8.3,10.9,%,2598
36005,36005017300,2023,DIABETES,Diagnosed diabetes among adults,17.2,15.5,19.0,%,6395
36005,36005028500,2023,LPA,No leisure-time physical activity among adults,21.0,18.4,23.8,%,3440
36005,36005032800,2023,COPD,Chronic obstructive pulmonary disease among adults,8.0,7.0,8.9,%,4133
36005,36005006200,2023,CHD,Coronary heart disease among adults,8.2,7.3,9.2,%,6769
36005,36005009302,2023,CSMOKING,Current cigarette smoking among adults,39.5,35.1,44.0,%,512
36005,36005031000,2023,STROKE,Stroke among adults,3.7,3.2,4.2,%,4372
36005,36005035600,2023,STROKE,Stroke among adults,4.0,3.6,4.5,%,2261
36005,36005003300,2023,STROKE,Stroke among adults,4.6,4.1,5.2,%,3689
36005,36005002701,2023,COPD,Chronic obstructive pulmonary disease among adults,12.4,10.7,14.0,%,3080
36005,36005031000,2023,CANCER,Cancer (non-skin) or melanoma among adults,8.4,7.6,9.3,%,4372
36005,36005023703,2023,LPA,No leisure-time physical activity among adults,47.5,42.8,52.2,%,5086
36005,36005027700,2023,COPD,Chronic obstructive pulmonary disease among adults,6.0,5.1,7.0,%,4968
36005,36005004200,2023,STROKE,Stroke among adults,4.5,4.1,5.1,%,7201
36003,36003950300,2023,BPHIGH,High blood pressure among adults,31.4,27.9,35.2,%,4755
36005,36005024501,2023,CSMOKING,Current cigarette smoking among adults,13.0,11.1,15.2,%,5059
36001,36001012800,2023,CHD,Coronary heart disease among adults,8.3,7.3,9.4,%,3797
36005,36005031200,2023,COPD,Chronic obstructive pulmonary disease among adults,4.7,4.0,5.5,%,1555
36005,36005020502,2023,CHD,Coronary heart disease among adults,7.1,6.3,8.0,%,2462
36005,36005034300,2023,CSMOKING,Current cigarette smoking among adults,7.6,6.3,9.1,%,1706
36005,36005027402,2023,BPHIGH,High blood pressure among adults,32.3,29.7,35.1,%,3553
36001,36001013503,2023,COPD,Chronic obstructive pulmonary disease among adults,4.6,3.9,5.4,%,5284
36005,36005021200,2023,CHD,Coronary heart disease among adults,6.0,5.3,6.7,%,6596
36001,36001000201,2023,CHD,Coronary heart disease among adults,6.6,5.9,7.5,%,3125
36005,36005027300,2023,CSMOKING,Current cigarette smoking among adults,12.0,10.2,13.8,%,7939
36001,36001013706,2023,CSMOKING,Current cigarette smoking among adults,6.5,4.9,8.4,%,2087
36005,36005025500,2023,CHD,Coronary heart disease among adults,6.1,5.5,6.8,%,8092
36005,36005009200,2023,STROKE,Stroke among adults,3.5,3.2,3.9,%,6271
36003,36003950800,2023,CHD,Coronary heart disease among adults,3.5,3.1,3.9,%,6136
36005,36005015100,2023,BPHIGH,High blood pressure among adults,37.8,35.1,40.3,%,5957
36005,36005020100,2023,BPHIGH,High blood pressure among adults,38.0,35.4,40.6,%,4345
36001,36001014613,2023,CANCER,Cancer (non-skin) or melanoma among adults,11.1,10.1,12.1,%,3132
36005,36005032600,2023,CANCER,Cancer (non-skin) or melanoma among adults,7.0,6.4,7.7,%,3494
36003,36003950900,2023,COPD,Chronic obstructive pulmonary disease among adults,9.3,8.2,10.4,%,3649
36001,36001013200,2023,BPHIGH,High blood pressure among adults,38.0,34.8,41.4,%,3380
36005,36005005100,2023,COPD,Chronic obstructive pulmonary disease among adults,10.1,8.9,11.4,%,6459
36005,36005004300,2023,LPA,No leisure-time physical activity among adults,45.0,40.8,49.3,%,5883
36005,36005028300,2023,DIABETES,Diagnosed diabetes among adults,20.4,18.4,22.4,%,2084
36005,36005023703,2023,CSMOKING,Current cigarette smoking among adults,18.7,15.8,21.8,%,5086
36005,36005019300,2023,CANCER,Cancer (non-skin) or melanoma among adults,4.1,3.7,4.6,%,6020
36001,36001013703,2023,LPA,No leisure-time physical activity among adults,22.7,19.3,26.2,%,2101
36003,36003951100,2023,CANCER,Cancer (non-skin) or melanoma among adults,11.5,10.4,12.6,%,3772
